519	305	0
1336	501	1
1349	529	1
1299	607	1
518	305	0
1313	505	1
517	305	0
1313	505	1
518	305	0
1284	481	1
1261	464	1
520	306	0
1279	476	1
518	306	0
1266	458	1
518	306	0
1264	452	1
517	308	0
1241	423	1
516	310	0
1199	375	1
516	311	0
1161	330	0
1149	332	0
518	313	0
1121	290	0
1111	301	0
519	314	0
1068	279	0
1082	269	0
519	315	0
1029	248	0
519	316	0
978	244	0
992	228	0
520	316	0
942	237	0
520	313	0
926	237	0
521	312	0
900	239	0
520	312	0
891	240	0
520	309	0
891	245	0
518	309	0
902	246	0
518	309	0
922	249	0
518	309	0
940	269	0
980	267	0
981	248	0
517	309	0
1015	265	0
517	310	0
1064	283	0
517	310	0
1101	305	0
516	310	0
1140	329	0
516	311	0
1196	363	0
516	313	0
1234	417	1
517	314	0
1248	404	1
1262	467	1
1257	480	1
518	314	0
1295	468	1
1316	548	1
520	315	0
1305	504	1
520	317	0
1316	632	1
521	315	0
1404	577	1
522	316	0
523	316	0
523	317	0
523	317	0
1257	632	1
1359	573	1
523	316	0
1373	564	1
1354	514	1
523	313	0
1319	514	1
1316	485	1
523	312	0
1302	501	1
522	313	0
1282	473	1
1261	459	1
522	315	0
1254	442	1
1267	439	1
522	315	0
1202	389	1
522	315	0
1173	353	0
522	315	0
1141	325	0
522	315	0
1102	291	0
522	315	0
1058	266	0
522	313	0
1019	247	0
522	312	0
976	235	0
520	312	0
947	235	0
521	312	0
913	244	0
521	310	0
901	246	0
519	309	0
889	246	0
885	265	0
518	309	0
887	258	0
518	311	0
896	266	0
517	317	0
929	265	0
942	278	0
519	319	0
980	286	0
970	282	0
518	320	0
1007	295	0
517	321	0
1044	319	0
516	321	0
1083	345	0
516	319	0
1136	383	0
516	320	0
1204	434	1
515	318	0
1206	409	1
1193	438	1
1227	454	1
515	318	0
1269	508	1
513	317	0
1288	539	1
512	317	0
1281	549	1
514	317	0
1343	591	1
515	317	0
519	319	0
1012	615	1
1476	531	1
519	320	0
520	320	0
1282	641	1
1383	556	1
1372	601	1
521	318	0
1343	585	1
1353	552	1
521	317	0
1335	568	1
520	316	0
1278	525	1
1290	523	1
1223	624	1
521	315	0
1261	489	1
1265	497	1
519	311	0
1240	458	1
1227	455	1
520	312	0
1200	419	1
518	309	0
1191	387	1
1178	393	1
517	305	0
1142	353	0
515	305	0
1106	320	0
1117	311	0
513	305	0
1071	286	0
514	304	0
1032	265	0
524	314	0
991	248	0
524	313	0
949	246	0
523	310	0
919	249	0
521	304	0
904	255	0
520	302	0
897	258	0
518	299	0
893	262	0
517	300	0
